GAME_ID,EVENTNUM,EVENTMSGTYPE,EVENTMSGACTIONTYPE,PERIOD,WCTIMESTRING,PCTIMESTRING,HOMEDESCRIPTION,NEUTRALDESCRIPTION,VISITORDESCRIPTION,SCORE,SCOREMARGIN,PERSON1TYPE,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ID,PLAYER1_TEAM_CITY,PLAYER1_TEAM_NICKNAME,PLAYER1_TEAM_ABBREVIATION,PERSON2TYPE,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ID,PLAYER2_TEAM_CITY,PLAYER2_TEAM_NICKNAME,PLAYER2_TEAM_ABBREVIATION,PERSON3TYPE,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ID,PLAYER3_TEAM_CITY,PLAYER3_TEAM_NICKNAME,PLAYER3_TEAM_ABBREVIATION,VIDEO_AVAILABLE_FLAG
0041200312,0,12,0,1,9:10 PM,12:00,,Start of 1st Period (9:10 PM EST),,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0
0041200312,1,10,0,1,9:10 PM,12:00,Jump Ball Duncan vs. Gasol: Tip to Green,,,,,4,1495,Tim Duncan,1610612759.0,San Antonio,Spurs,SAS,5,201188,Marc Gasol,1610612763.0,Memphis,Grizzlies,MEM,4,201980,Danny Green,1610612759.0,San Antonio,Spurs,SAS,0
0041200312,2,2,5,1,9:10 PM,11:57,MISS Green 1' Layup,,Conley BLOCK (1 BLK),,,4,201980,Danny Green,1610612759.0,San Antonio,Spurs,SAS,0,0,,,,,,5,201144,Mike Conley,1610612763.0,Memphis,Grizzlies,MEM,0
0041200312,3,4,0,1,9:10 PM,11:55,SPURS Rebound,,,,,2,1610612759,,,,,,0,0,,,,,,0,0,,,,,,0
0041200312,4,6,1,1,9:11 PM,11:43,,,Conley P.FOUL (P1.T1),,,5,201144,Mike Conley,1610612763.0,Memphis,Grizzlies,MEM,4,2225,Tony Parker,1610612759.0,San Antonio,Spurs,SAS,1,0,,,,,,0
0041200312,5,2,78,1,9:11 PM,11:34,MISS Parker 9' Floating Jump Shot,,,,,4,2225,Tony Parker,1610612759.0,San Antonio,Spurs,SAS,0,0,,,,,,0,0,,,,,,0
0041200312,6,4,0,1,9:11 PM,11:32,,,Gasol REBOUND (Off:0 Def:1),,,5,201188,Marc Gasol,1610612763.0,Memphis,Grizzlies,MEM,0,0,,,,,,0,0,,,,,,0
0041200312,7,6,4,1,9:12 PM,11:19,,,Randolph OFF.Foul (P1),,,5,2216,Zach Randolph,1610612763.0,Memphis,Grizzlies,MEM,4,201168,Tiago Splitter,1610612759.0,San Antonio,Spurs,SAS,1,0,,,,,,0
0041200312,8,5,5,1,9:12 PM,11:19,,,Randolph Foul Turnover (P1.T1),,,5,2216,Zach Randolph,1610612763.0,Memphis,Grizzlies,MEM,0,0,,,,,,1,0,,,,,,0
0041200312,9,5,1,1,9:12 PM,11:02,Duncan Bad Pass Turnover (P1.T1),,Conley STEAL (1 STL),,,4,1495,Tim Duncan,1610612759.0,San Antonio,Spurs,SAS,5,201144,Mike Conley,1610612763.0,Memphis,Grizzlies,MEM,0,0,,,,,,0
0041200312,10,2,1,1,9:12 PM,10:56,,,MISS Conley  3PT Jump Shot,,,5,201144,Mike Conley,1610612763.0,Memphis,Grizzlies,MEM,0,0,,,,,,0,0,,,,,,0
0041200312,11,4,0,1,9:12 PM,10:55,Parker REBOUND (Off:0 Def:1),,,,,4,2225,Tony Parker,1610612759.0,San Antonio,Spurs,SAS,0,0,,,,,,0,0,,,,,,0
0041200312,12,1,5,1,9:13 PM,10:43,Green 1' Layup (2 PTS) (Splitter 1 AST),,,0 - 2,2,4,201980,Danny Green,1610612759.0,San Antonio,Spurs,SAS,4,201168,Tiago Splitter,1610612759.0,San Antonio,Spurs,SAS,0,0,,,,,,0
0041200312,13,5,8,1,9:13 PM,10:25,,,Randolph 3 Second Violation Turnover (P2.T2),,,5,2216,Zach Randolph,1610612763.0,Memphis,Grizzlies,MEM,0,0,,,,,,1,0,,,,,,0
0041200312,14,1,44,1,9:13 PM,10:15,Leonard 2' Reverse Layup (2 PTS) (Green 1 AST),,,0 - 4,4,4,202695,Kawhi Leonard,1610612759.0,San Antonio,Spurs,SAS,4,201980,Danny Green,1610612759.0,San Antonio,Spurs,SAS,0,0,,,,,,0
0041200312,15,6,1,1,9:14 PM,10:06,Duncan P.FOUL (P1.T1),,,,,4,1495,Tim Duncan,1610612759.0,San Antonio,Spurs,SAS,5,2216,Zach Randolph,1610612763.0,Memphis,Grizzlies,MEM,1,0,,,,,,0
